,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Safety Index
1642,ARUNACHAL PRADESH,LOHIT,2013,10,22,0,10,0,2,0,98.80000000000001
1643,ARUNACHAL PRADESH,LONGDING,2013,1,2,0,2,0,0,0,99.86666666666666
1644,ARUNACHAL PRADESH,PAPUM PARE,2013,18,22,0,24,1,20,0,98.06666666666666
1645,ARUNACHAL PRADESH,RURAL,2013,3,5,0,5,0,1,0,99.64
1646,ARUNACHAL PRADESH,SIANG EAST,2013,10,2,0,6,0,1,0,99.42
1647,ARUNACHAL PRADESH,SIANG UPPER,2013,0,2,0,4,0,0,0,99.86666666666666
1648,ARUNACHAL PRADESH,SIANG WEST,2013,7,6,0,9,2,3,0,99.33333333333334
1649,ARUNACHAL PRADESH,SUBANSIRI LOWER,2013,5,0,0,3,0,0,0,99.74000000000001
1650,ARUNACHAL PRADESH,SUBANSIRI UPPER,2013,10,2,0,8,0,0,0,99.38666666666666
1651,ARUNACHAL PRADESH,TAWANG,2013,2,1,0,6,0,1,0,99.76666666666667
1652,ARUNACHAL PRADESH,TIRAP,2013,0,2,0,5,0,0,0,99.84666666666668
1653,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2013,0,1,0,0,0,0,0,99.97333333333333
1654,ARUNACHAL PRADESH,TOTAL,2013,75,86,0,93,3,29,0,92.61333333333333
1655,ASSAM,BAKSA,2013,20,46,1,9,0,32,0,97.54666666666667
1656,ASSAM,BARPETA,2013,148,348,18,341,0,1016,0,70.60666666666665
1657,ASSAM,BIEO,2013,0,0,0,0,0,0,0,100.0
1658,ASSAM,BONGAIGAON,2013,68,95,9,4,0,100,0,93.69999999999999
1659,ASSAM,CID,2013,0,0,0,0,0,0,0,100.0
1660,ASSAM,CACHAR,2013,79,221,12,25,0,537,0,86.46666666666667
1661,ASSAM,CHIRANG,2013,30,50,1,21,0,78,0,96.49333333333333
1662,ASSAM,DARRANG,2013,92,145,3,239,0,378,0,85.05333333333333
1663,ASSAM,DHEMAJI,2013,42,70,1,77,0,85,0,94.31333333333333
1664,ASSAM,DHUBRI,2013,190,350,9,452,11,1080,0,66.38
1665,ASSAM,DIBRUGARH,2013,65,108,0,151,0,239,0,89.90666666666667
1666,ASSAM,G.R.P.,2013,0,6,0,0,0,0,0,99.84
1667,ASSAM,GOALPARA,2013,73,103,7,89,0,326,0,90.14666666666668
1668,ASSAM,GOLAGHAT,2013,85,181,3,76,0,284,0,88.26
1669,ASSAM,GUWAHATI CITY,2013,103,432,15,207,0,561,0,75.98
1670,ASSAM,HAILAKANDI,2013,60,71,2,7,0,169,0,94.37333333333333
1671,ASSAM,HAMREN,2013,14,9,0,0,0,0,0,99.2
1672,ASSAM,JORHAT,2013,79,160,0,117,0,307,0,88.18666666666667
1673,ASSAM,KAMRUP,2013,66,154,3,86,0,305,0,89.39999999999999
1674,ASSAM,KARBI ANGLONG,2013,8,43,0,16,0,39,0,97.95333333333333
1675,ASSAM,KARIMGANJ,2013,44,108,9,9,0,266,0,93.10666666666665
1676,ASSAM,KOKRAJHAR,2013,32,79,5,32,0,134,2,94.82
1677,ASSAM,LAKHIMPUR,2013,59,123,3,55,0,300,0,91.16
1678,ASSAM,MORIGAON,2013,76,123,8,45,0,271,0,90.70666666666666
1679,ASSAM,N.C.HILLS,2013,5,24,3,0,0,0,0,99.06
1680,ASSAM,NAGAON,2013,190,438,23,103,3,1120,0,70.38666666666667
1681,ASSAM,NALBARI,2013,44,90,3,84,0,178,0,92.87333333333333
1682,ASSAM,R.P.O.,2013,9,3,0,0,0,0,0,99.56
1683,ASSAM,SIBSAGAR,2013,60,179,5,53,0,311,0,89.52666666666667
1684,ASSAM,SONITPUR,2013,99,205,15,34,0,300,0,87.39333333333333
1685,ASSAM,STF,2013,0,0,0,0,0,0,0,100.0
1686,ASSAM,TINSUKIA,2013,77,201,7,34,0,140,0,89.71333333333334
1687,ASSAM,UDALGURI,2013,20,57,5,43,0,80,0,96.12
1688,ASSAM,TOTAL,2013,1937,4222,170,2409,14,8636,2,-201.76666666666665
1689,BIHAR,ARARIA,2013,52,90,12,10,0,19,5,94.56
1690,BIHAR,ARWAL,2013,6,32,15,3,0,30,0,98.14666666666668
1691,BIHAR,AURANGABAD,2013,19,52,28,37,0,141,0,95.24000000000001
1692,BIHAR,BAGAHA,2013,15,64,14,17,0,55,0,96.52
1693,BIHAR,BANKA,2013,33,69,28,1,1,69,0,95.41333333333334
1694,BIHAR,BEGUSARAI,2013,24,125,28,55,0,93,0,93.05333333333334
1695,BIHAR,BETTIAH,2013,39,154,26,0,0,148,0,92.47999999999999
1696,BIHAR,BHABHUA,2013,16,52,27,0,0,49,0,96.74666666666667
1697,BIHAR,BHAGALPUR,2013,51,123,19,40,0,115,0,92.47999999999999
1698,BIHAR,BHOJPUR,2013,23,93,38,3,0,137,0,94.36
1699,BIHAR,BUXAR,2013,16,63,9,29,0,78,0,96.28
1700,BIHAR,DARBHANGA,2013,38,196,33,4,1,343,0,89.77333333333334
1701,BIHAR,GAYA,2013,45,175,37,0,0,212,0,90.88666666666667
1702,BIHAR,GOPALGANJ,2013,11,85,33,0,0,143,0,95.24000000000001
1703,BIHAR,JAMALPUR RAILWAY,2013,1,0,0,0,0,1,0,99.95333333333333
1704,BIHAR,JAMUI,2013,24,37,19,2,0,104,0,96.68666666666667
1705,BIHAR,JEHANABAD,2013,14,26,30,5,0,57,0,97.26666666666667
1706,BIHAR,KATIHAR,2013,86,148,21,1,0,99,0,91.23333333333333
1707,BIHAR,KATIHAR RAILWAY,2013,1,4,0,1,0,2,0,99.82
1708,BIHAR,KHAGARIA,2013,8,59,13,5,0,25,0,97.40666666666667
1709,BIHAR,KISHANGANJ,2013,52,90,7,0,0,65,0,94.85333333333332
1710,BIHAR,LAKHISARAI,2013,9,26,11,0,0,70,0,98.11333333333334
1711,BIHAR,MADHEPURA,2013,14,70,17,3,0,64,0,96.52
1712,BIHAR,MADHUBANI,2013,37,141,28,1,0,210,0,92.40666666666667
1713,BIHAR,MOTIHARI,2013,25,226,65,5,14,196,0,89.21333333333334
1714,BIHAR,MUNGER,2013,7,55,13,5,0,66,0,97.28
1715,BIHAR,MUZAFFARPUR,2013,43,295,48,5,27,81,2,87.72
1716,BIHAR,MUZAFFARPUR RAILWAY,2013,3,5,0,1,0,0,0,99.72666666666667
1717,BIHAR,NALANDA,2013,11,107,81,18,0,174,0,92.48666666666666
1718,BIHAR,NAUGACHIA,2013,10,26,16,19,0,69,0,97.53333333333333
1719,BIHAR,NAWADAH,2013,20,51,23,3,0,122,0,96.19999999999999
1720,BIHAR,PATNA,2013,76,412,96,17,2,459,0,79.34666666666666
1721,BIHAR,PATNA RAILWAY,2013,2,11,3,12,0,1,0,99.28
1722,BIHAR,PURNEA,2013,56,93,21,0,7,19,0,94.36
1723,BIHAR,ROHTAS,2013,60,135,48,5,0,97,0,91.65333333333334
1724,BIHAR,SAHARSA,2013,14,64,10,0,0,79,0,96.87333333333333
1725,BIHAR,SAMASTIPUR,2013,35,128,32,8,0,116,0,93.18666666666667
1726,BIHAR,SARAN,2013,16,125,69,0,0,116,0,92.95333333333333
1727,BIHAR,SHEIKHPURA,2013,10,34,8,0,0,47,0,98.11333333333334
1728,BIHAR,SHEOHAR,2013,3,41,7,0,0,19,0,98.42666666666666
1729,BIHAR,SITAMARHI,2013,26,182,24,3,0,140,0,92.31333333333333
1730,BIHAR,SIWAN,2013,19,190,45,1,0,112,0,91.90666666666667
1731,BIHAR,SUPAUL,2013,34,103,19,5,0,78,0,94.64
1732,BIHAR,VAISHALI,2013,24,162,61,7,0,213,0,91.12666666666667
1733,BIHAR,TOTAL,2013,1128,4419,1182,331,52,4533,7,-140.21999999999997
1734,CHHATTISGARH,BALOD,2013,20,20,3,67,2,11,0,97.12666666666667
1735,CHHATTISGARH,BALODA BAZAR,2013,55,129,4,110,22,31,0,91.52666666666667
1736,CHHATTISGARH,BALRAMPUR,2013,84,0,8,50,2,31,1,95.09333333333333
1737,CHHATTISGARH,BEMETARA,2013,28,27,5,57,2,19,0,96.7
1738,CHHATTISGARH,BILASPUR,2013,96,295,13,308,10,130,0,80.7
1739,CHHATTISGARH,BIZAPUR,2013,6,10,0,6,1,1,0,99.35333333333332
1740,CHHATTISGARH,DANTEWARA,2013,9,6,0,9,0,1,0,99.29333333333334
1741,CHHATTISGARH,DHAMTARI,2013,30,29,0,59,1,14,0,96.74
1742,CHHATTISGARH,DURG,2013,106,83,9,236,34,147,0,87.09333333333333
1743,CHHATTISGARH,GARIYABAND,2013,32,23,0,24,8,12,0,97.44
1744,CHHATTISGARH,GRP RAIPUR,2013,2,1,0,3,0,1,0,99.82666666666667
1745,CHHATTISGARH,JAGDALPUR,2013,53,40,2,30,1,16,0,96.02666666666666
1746,CHHATTISGARH,JANJGIR,2013,56,158,11,161,11,138,0,88.89333333333333
1747,CHHATTISGARH,JASHPUR,2013,88,41,3,52,3,25,0,94.03999999999999
1748,CHHATTISGARH,KABIRDHAM,2013,30,29,3,72,3,11,0,96.37333333333333
1749,CHHATTISGARH,KANKER,2013,51,39,2,27,2,29,0,96.09333333333333
1750,CHHATTISGARH,KONDAGAON,2013,19,25,0,13,0,6,0,98.27333333333334
1751,CHHATTISGARH,KORBA,2013,57,63,4,71,9,66,0,93.92666666666668
1752,CHHATTISGARH,KORIYA,2013,63,64,3,88,4,55,0,93.49333333333334
1753,CHHATTISGARH,MAHASAMUND,2013,49,102,8,104,11,48,0,92.50666666666667
1754,CHHATTISGARH,MUNGELI,2013,23,61,4,44,3,23,0,96.24666666666667
1755,CHHATTISGARH,NARAYANPUR,2013,10,3,0,3,0,2,0,99.44666666666666
1756,CHHATTISGARH,RAIGARH,2013,90,163,5,126,10,53,0,88.88
1757,CHHATTISGARH,RAIPUR,2013,139,327,11,263,32,173,0,78.51333333333332
1758,CHHATTISGARH,RAJNANDGAON,2013,46,72,7,74,4,32,0,94.26
1759,CHHATTISGARH,SARGUJA,2013,71,19,0,118,1,35,0,94.04666666666668
1760,CHHATTISGARH,SUKMA,2013,8,3,1,2,1,4,0,99.48666666666666
1761,CHHATTISGARH,SURAJPUR,2013,59,49,3,84,3,67,0,94.06666666666666
1762,CHHATTISGARH,TOTAL,2013,1380,1881,109,2261,180,1181,1,-64.53333333333333
1763,GOA,NORTH GOA,2013,48,31,0,103,36,17,0,94.60000000000001
1764,GOA,SOUTH GOA,2013,38,39,0,59,18,23,0,95.86666666666666
1765,GOA,TOTAL,2013,86,70,0,162,54,40,0,90.46666666666667
1766,GUJARAT,AHMEDABAD COMMR.,2013,116,353,20,180,8,1756,0,69.86666666666666
1767,GUJARAT,AHMEDABAD RURAL,2013,17,62,0,33,0,167,0,95.89333333333335
1768,GUJARAT,AHWA-DANG,2013,4,5,0,7,1,20,0,99.42
1769,GUJARAT,AMRELI,2013,11,60,0,16,2,157,0,96.56666666666666
1770,GUJARAT,ANAND,2013,12,70,1,20,4,162,0,96.08666666666666
1771,GUJARAT,BHARUCH,2013,23,41,0,30,0,53,0,97.03333333333333
1772,GUJARAT,BHAVNAGAR,2013,17,100,1,50,7,220,0,94.06
1773,GUJARAT,CID CRIME,2013,0,1,0,0,0,0,0,99.97333333333333
1774,GUJARAT,DAHOD,2013,14,75,0,15,0,1,0,97.13333333333333
1775,GUJARAT,GANDHINAGAR,2013,22,61,0,31,6,200,0,95.46
1776,GUJARAT,HIMATNAGAR,2013,14,74,0,33,8,304,0,94.67333333333332
1777,GUJARAT,JAMNAGAR,2013,27,46,1,26,3,480,0,93.9
1778,GUJARAT,JUNAGADH,2013,29,76,1,52,12,461,0,92.50666666666667
1779,GUJARAT,KHEDA NORTH,2013,14,64,0,21,1,148,0,96.31333333333333
1780,GUJARAT,KUTCH (EAST(G)),2013,25,41,0,34,0,249,0,95.56666666666666
1781,GUJARAT,KUTCH (WEST-BHUJ),2013,28,26,0,29,0,200,0,96.27333333333333
1782,GUJARAT,MEHSANA,2013,11,124,0,37,0,321,0,93.37333333333333
1783,GUJARAT,NARMADA,2013,7,21,0,15,0,10,0,98.79333333333334
1784,GUJARAT,NAVSARI,2013,9,31,0,13,1,88,0,97.95333333333333
1785,GUJARAT,PALANPUR,2013,62,94,0,96,3,377,0,90.54
1786,GUJARAT,PANCHMAHAL,2013,16,96,0,46,0,217,0,94.43333333333334
1787,GUJARAT,PATAN,2013,19,74,0,47,1,174,0,95.15333333333332
1788,GUJARAT,PORBANDAR,2013,6,14,0,6,0,79,0,98.74000000000001
1789,GUJARAT,RAJKOT COMMR.,2013,14,47,1,18,4,254,0,96.04666666666667
1790,GUJARAT,RAJKOT RURAL,2013,30,74,1,41,2,404,0,93.25333333333333
1791,GUJARAT,SURAT COMMR.,2013,76,195,2,91,0,491,0,86.6
1792,GUJARAT,SURAT RURAL,2013,19,27,1,15,0,114,0,97.42666666666666
1793,GUJARAT,SURENDRANAGAR,2013,18,66,0,51,7,133,0,95.52
1794,GUJARAT,TAPI,2013,8,17,0,13,0,12,0,98.88666666666667
1795,GUJARAT,VADODARA COMMR.,2013,19,68,0,107,7,417,0,92.41333333333333
1796,GUJARAT,VADODARA RURAL,2013,25,71,0,29,0,110,0,95.79333333333332
1797,GUJARAT,VALSAD,2013,19,49,0,33,0,28,0,97.08666666666666
1798,GUJARAT,W.RLY AHMEDABAD,2013,0,5,0,2,0,5,0,99.79333333333332
1799,GUJARAT,W.RLY VADODARA,2013,1,2,0,6,0,0,0,99.78666666666668
1800,GUJARAT,TOTAL,2013,732,2230,29,1243,77,7812,0,-67.68
1801,HARYANA,AMBALA RURAL,2013,17,58,3,32,0,79,0,96.50666666666666
1802,HARYANA,AMBALA URBAN,2013,24,92,1,48,18,170,0,94.22
1803,HARYANA,BHIWANI,2013,52,118,20,97,36,144,0,90.72666666666666
1804,HARYANA,FARIDABAD,2013,65,115,22,90,56,255,0,89.35333333333332
1805,HARYANA,FATEHABAD,2013,30,41,2,46,25,193,0,95.1
1806,HARYANA,GRP,2013,2,7,3,18,51,0,0,98.59333333333333
1807,HARYANA,GURGAON,2013,82,184,18,97,42,290,0,86.78
1808,HARYANA,HISSAR,2013,61,97,17,118,31,319,0,89.50666666666666
1809,HARYANA,I&P HARYANA,2013,0,0,0,0,0,0,0,100.0
1810,HARYANA,JHAJJAR,2013,17,38,22,44,16,109,0,95.75333333333333
1811,HARYANA,JIND,2013,38,73,9,69,34,121,0,93.59333333333333
1812,HARYANA,KAITHAL,2013,26,72,4,39,11,146,0,95.00666666666667
1813,HARYANA,KARNAL,2013,72,218,12,181,21,213,0,85.58666666666667
1814,HARYANA,KURUKSHETRA,2013,25,56,8,70,26,137,0,94.58
1815,HARYANA,MAHENDRAGARH,2013,28,53,9,81,48,84,0,94.34666666666666
1816,HARYANA,MEWAT,2013,68,33,10,46,7,198,0,93.73333333333333
1817,HARYANA,PALWAL,2013,51,49,12,77,23,192,0,93.12666666666667
1818,HARYANA,PANCHKULA,2013,15,102,4,41,9,80,0,95.07333333333334
1819,HARYANA,PANIPAT,2013,52,114,14,60,19,118,0,92.17333333333332
1820,HARYANA,REWARI,2013,43,48,13,62,52,117,0,93.85333333333334
1821,HARYANA,ROHTAK,2013,51,57,17,55,39,127,0,93.40666666666667
1822,HARYANA,SIRSA,2013,64,113,5,58,13,187,2,91.58666666666667
1823,HARYANA,SONIPAT,2013,50,57,27,71,48,167,0,92.40666666666667
1824,HARYANA,YAMUNANAGAR,2013,38,162,11,60,18,171,0,91.21333333333332
1825,HARYANA,TOTAL,2013,971,1957,263,1560,643,3617,2,-63.773333333333326
1826,HIMACHAL PRADESH,BADDIPOLICEDIST,2013,6,23,0,17,1,20,0,98.66
1827,HIMACHAL PRADESH,BILASPUR,2013,13,43,0,32,23,32,0,97.17333333333332
1828,HIMACHAL PRADESH,CHAMBA,2013,19,13,0,31,1,7,0,98.21333333333334
1829,HIMACHAL PRADESH,CID,2013,1,0,0,0,0,0,0,99.96000000000001
1830,HIMACHAL PRADESH,G.R.P.,2013,0,0,0,1,0,0,0,99.97999999999999
1831,HIMACHAL PRADESH,HAMIRPUR,2013,12,11,0,31,20,23,0,98.18666666666667
1832,HIMACHAL PRADESH,KANGRA,2013,33,53,0,100,31,53,0,94.5
1833,HIMACHAL PRADESH,KINNAUR,2013,6,2,0,8,0,4,0,99.52
1834,HIMACHAL PRADESH,KULLU,2013,29,26,0,44,2,30,0,97.04
1835,HIMACHAL PRADESH,LAHAUL-SPITI,2013,1,0,0,0,1,0,0,99.94666666666667
1836,HIMACHAL PRADESH,MANDI,2013,31,36,0,73,14,34,0,95.92666666666666
1837,HIMACHAL PRADESH,SHIMLA,2013,32,40,0,63,11,29,0,96.05333333333334
1838,HIMACHAL PRADESH,SIRMAUR,2013,25,11,0,40,4,23,0,97.69999999999999
1839,HIMACHAL PRADESH,SOLAN,2013,17,14,0,19,1,16,0,98.44666666666667
1840,HIMACHAL PRADESH,UNA,2013,25,18,0,34,2,57,0,97.43333333333334
1841,HIMACHAL PRADESH,TOTAL,2013,250,290,0,493,111,328,0,68.74000000000001
1842,JAMMU & KASHMIR,ANANTNAG,2013,19,88,0,129,26,4,0,93.94
1843,JAMMU & KASHMIR,AWANTIPORA,2013,5,14,0,18,4,1,0,99.00666666666666
1844,JAMMU & KASHMIR,BANDIPORA,2013,8,50,0,47,9,5,0,97.25333333333333
1845,JAMMU & KASHMIR,BARAMULLA,2013,19,92,0,135,18,13,0,93.75999999999999
1846,JAMMU & KASHMIR,BUDGAM,2013,11,61,0,26,13,2,0,97.22666666666667
1847,JAMMU & KASHMIR,CRIME JAMMU,2013,0,0,0,0,0,0,0,100.0
1848,JAMMU & KASHMIR,CRIME SRINAGAR,2013,0,0,0,0,0,0,0,100.0
1849,JAMMU & KASHMIR,DODA,2013,29,36,0,41,9,41,0,96.66666666666666
1850,JAMMU & KASHMIR,GANDERBAL,2013,5,28,0,64,4,5,0,97.68666666666667
1851,JAMMU & KASHMIR,HANDWARA,2013,10,28,0,77,5,5,0,97.21333333333334
1852,JAMMU & KASHMIR,JAMMU,2013,50,96,5,72,53,92,0,92.51333333333334
1853,JAMMU & KASHMIR,KARGIL,2013,0,1,0,1,0,0,0,99.95333333333333
1854,JAMMU & KASHMIR,KATHUA,2013,20,24,0,37,15,21,0,97.47999999999999
1855,JAMMU & KASHMIR,KISHTWAR,2013,12,14,0,14,5,19,0,98.67333333333333
1856,JAMMU & KASHMIR,KULGAM,2013,13,60,0,136,18,0,0,94.92000000000002
1857,JAMMU & KASHMIR,KUPWARA,2013,19,51,0,47,14,10,0,96.68666666666667
1858,JAMMU & KASHMIR,LEH,2013,2,0,0,2,1,0,0,99.86666666666666
1859,JAMMU & KASHMIR,POONCH,2013,20,24,0,45,4,14,0,97.51333333333334
1860,JAMMU & KASHMIR,PULWAMA,2013,10,28,0,19,9,3,0,98.33333333333334
1861,JAMMU & KASHMIR,RAILWAYS JAMMU,2013,0,0,0,1,0,0,0,99.97999999999999
1862,JAMMU & KASHMIR,RAILWAYS KASHMIR,2013,0,0,0,0,2,0,0,99.97333333333333
1863,JAMMU & KASHMIR,RAILWAYS KATRA,2013,0,0,0,0,0,0,0,100.0
1864,JAMMU & KASHMIR,RAJOURI,2013,30,58,1,46,16,57,0,95.70666666666666
1865,JAMMU & KASHMIR,RAMBAN,2013,13,21,0,21,6,9,0,98.36
1866,JAMMU & KASHMIR,REASI,2013,13,17,0,5,8,14,0,98.72666666666667
1867,JAMMU & KASHMIR,SAMBA,2013,5,8,1,23,7,12,0,98.91999999999999
1868,JAMMU & KASHMIR,SHOPIAN,2013,5,17,0,27,4,2,0,98.74000000000001
1869,JAMMU & KASHMIR,SOPORE,2013,15,34,0,63,3,5,0,97.16
1870,JAMMU & KASHMIR,SRINAGAR,2013,22,86,0,266,90,72,0,89.82666666666667
1871,JAMMU & KASHMIR,UDHAMPUR,2013,23,13,0,27,11,22,0,97.89999999999999
1872,JAMMU & KASHMIR,TOTAL,2013,378,949,7,1389,354,428,0,23.986666666666665
1873,JHARKHAND,BOKARO,2013,58,78,15,8,0,243,0,93.32000000000001
1874,JHARKHAND,CHAIBASA,2013,77,27,0,36,0,55,0,95.11333333333333
1875,JHARKHAND,CHATRA,2013,25,25,10,16,0,19,0,97.55333333333333
1876,JHARKHAND,DEOGHAR,2013,61,5,24,65,0,252,0,93.64666666666666
1877,JHARKHAND,DHANBAD,2013,65,144,37,6,0,89,0,91.61333333333333
1878,JHARKHAND,DHANBAD RAILWAY,2013,0,5,0,11,0,0,0,99.64666666666666
1879,JHARKHAND,DUMKA,2013,41,26,10,15,0,73,0,96.54666666666668
1880,JHARKHAND,GARHWA,2013,53,28,30,33,0,125,0,94.64
1881,JHARKHAND,GIRIDIH,2013,53,29,44,24,0,323,0,93.00666666666666
1882,JHARKHAND,GODDA,2013,44,28,8,0,0,0,0,97.22666666666667
1883,JHARKHAND,GUMLA,2013,59,34,1,15,0,17,0,96.28666666666666
1884,JHARKHAND,HAZARIBAGH,2013,63,62,28,35,0,50,0,93.85999999999999
1885,JHARKHAND,JAMSHEDPUR,2013,85,81,15,86,5,186,0,90.91333333333333
1886,JHARKHAND,JAMSHEDPUR RAILWAY,2013,3,1,1,4,0,0,0,99.74000000000001
1887,JHARKHAND,JAMTARA,2013,32,21,8,9,1,150,0,96.7
1888,JHARKHAND,KHUNTI,2013,9,7,0,8,1,8,0,99.22666666666666
1889,JHARKHAND,KODERMA,2013,23,25,6,17,0,48,0,97.55333333333333
1890,JHARKHAND,LATEHAR,2013,27,10,5,19,0,16,0,98.0
1891,JHARKHAND,LOHARDAGGA,2013,34,10,3,2,0,35,0,98.0
1892,JHARKHAND,PAKUR,2013,48,26,2,10,0,147,0,96.14000000000001
1893,JHARKHAND,PALAMU,2013,31,24,22,18,0,31,0,96.82000000000001
1894,JHARKHAND,RAMGARH,2013,36,35,14,18,9,25,0,96.51333333333334
1895,JHARKHAND,RANCHI,2013,70,59,13,23,2,47,2,94.3
1896,JHARKHAND,SAHEBGANJ,2013,145,83,5,13,0,104,0,90.86666666666666
1897,JHARKHAND,SARAIKELA,2013,33,33,6,24,0,28,0,96.93333333333334
1898,JHARKHAND,SIMDEGA,2013,29,20,0,9,0,13,0,98.04
1899,JHARKHAND,TOTAL,2013,1204,926,307,524,18,2084,2,-7.7933333333333366
1900,KARNATAKA,BAGALKOT,2013,30,11,3,86,2,46,0,96.35333333333334
1901,KARNATAKA,BANGALORE COMMR.,2013,80,538,52,378,73,482,0,68.97333333333334
1902,KARNATAKA,BANGALORE RURAL,2013,57,85,22,130,0,112,0,91.37333333333333
1903,KARNATAKA,BELGAUM,2013,61,25,7,246,12,200,0,90.24666666666667
1904,KARNATAKA,BELLARY,2013,36,23,5,99,0,58,0,95.41333333333334
1905,KARNATAKA,BIDAR,2013,18,31,7,82,9,112,0,95.71333333333334
1906,KARNATAKA,BIJAPUR,2013,28,21,2,94,0,92,0,95.76
1907,KARNATAKA,CBPURA,2013,33,16,17,57,0,51,0,96.20666666666666
1908,KARNATAKA,CHAMARAJNAGAR,2013,16,15,4,95,0,25,0,96.76
1909,KARNATAKA,CHICKMAGALUR,2013,21,36,7,141,0,69,0,94.68666666666667
1910,KARNATAKA,CHITRADURGA,2013,31,27,7,178,0,64,0,93.82
1911,KARNATAKA,DAKSHIN KANNADA,2013,14,15,0,72,2,45,0,97.27333333333334
1912,KARNATAKA,DAVANAGERE,2013,33,21,14,167,5,127,0,93.4
1913,KARNATAKA,DHARWAD COMMR.,2013,16,75,4,37,5,85,0,95.85333333333332
1914,KARNATAKA,DHARWAD RURAL,2013,18,0,1,34,0,27,0,98.38666666666667
1915,KARNATAKA,GADAG,2013,18,10,1,40,0,36,0,97.94
1916,KARNATAKA,GULBARGA,2013,54,46,8,125,0,122,0,93.03333333333333
1917,KARNATAKA,HASSAN,2013,61,47,12,182,0,157,0,91.22
1918,KARNATAKA,HAVERI,2013,18,0,1,80,0,55,0,97.28
1919,KARNATAKA,K.G.F.,2013,23,7,6,13,0,15,0,98.33333333333334
1920,KARNATAKA,KODAGU,2013,26,17,2,40,2,41,0,97.34
1921,KARNATAKA,KOLAR,2013,20,9,3,25,0,25,0,98.19333333333333
1922,KARNATAKA,KOPPAL,2013,22,0,0,39,0,59,0,97.94666666666666
1923,KARNATAKA,MANDYA,2013,31,64,19,221,4,160,0,90.88
1924,KARNATAKA,MANGALORE CITY,2013,20,6,1,54,5,65,0,97.42666666666666
1925,KARNATAKA,MYSORE COMMR.,2013,19,16,12,11,1,43,0,97.89333333333333
1926,KARNATAKA,MYSORE RURAL,2013,26,6,14,69,0,64,0,96.52666666666667
1927,KARNATAKA,RAICHUR,2013,43,12,3,156,0,162,0,93.66
1928,KARNATAKA,RAILWAYS,2013,1,0,2,3,0,0,0,99.83333333333333
1929,KARNATAKA,RAMANAGAR,2013,21,41,11,141,0,57,0,94.5
1930,KARNATAKA,SHIMOGA,2013,43,51,5,267,4,300,0,89.36
1931,KARNATAKA,TUMAKURU,2013,37,16,14,206,0,87,0,92.92666666666668
1932,KARNATAKA,UDUPI,2013,22,11,2,67,0,78,0,96.89999999999999
1933,KARNATAKA,UTTAR KANNADA,2013,17,38,6,155,13,94,0,94.20666666666668
1934,KARNATAKA,YADGIRI,2013,16,23,3,123,0,61,0,95.78
1935,KARNATAKA,TOTAL,2013,1030,1359,277,3913,137,3276,0,-88.6
1936,KERALA,ALAPUZHA,2013,45,10,1,293,26,327,0,89.51333333333335
1937,KERALA,ERNAKULAM COMMR.,2013,40,9,0,169,23,130,0,93.60666666666667
1938,KERALA,ERNAKULAM RURAL,2013,67,11,2,238,41,177,0,90.47333333333333
1939,KERALA,IDUKKI,2013,67,3,0,218,12,146,0,91.74666666666667
1940,KERALA,KANNUR,2013,60,12,0,191,11,341,0,91.03999999999999
1941,KERALA,KASARGOD,2013,81,9,2,163,8,232,0,91.53999999999999
1942,KERALA,KOLLAM COMMR.,2013,64,16,1,198,17,304,0,90.76666666666667
1943,KERALA,KOLLAM RURAL,2013,92,12,2,273,14,254,0,88.59333333333333
1944,KERALA,KOTTAYAM,2013,47,9,0,251,30,216,0,91.02000000000001
1945,KERALA,KOZHIKODE COMMR.,2013,30,9,0,110,44,136,0,94.86666666666666
1946,KERALA,KOZHIKODE RURAL,2013,64,17,0,208,15,292,0,90.67999999999999
1947,KERALA,MALAPPURAM,2013,99,5,0,272,20,651,0,85.86
1948,KERALA,PALAKKAD,2013,93,12,0,161,19,402,0,89.80666666666666
1949,KERALA,PATHANAMTHITTA,2013,45,4,1,187,1,113,0,93.55333333333334
1950,KERALA,RAILWAYS,2013,0,1,0,33,12,0,0,99.15333333333334
1951,KERALA,THRISSUR COMMR.,2013,29,2,1,85,17,125,0,95.99333333333334
1952,KERALA,THRISSUR RURAL,2013,64,9,3,258,27,387,0,89.0
1953,KERALA,TRIVANDRUM COMMR.,2013,54,4,1,299,33,154,0,90.25333333333334
1954,KERALA,TRIVANDRUM RURAL,2013,130,26,6,641,27,349,0,78.4
1955,KERALA,WAYANADU,2013,50,5,1,114,7,84,0,94.9
1956,KERALA,TOTAL,2013,1221,185,21,4362,404,4820,0,-79.23333333333332
1957,MADHYA PRADESH,AGAR,2013,24,8,1,41,1,30,0,97.75999999999999
1958,MADHYA PRADESH,ALIRAJPUR,2013,29,14,0,14,0,19,0,98.05999999999999
1959,MADHYA PRADESH,ANUPPUR,2013,84,32,9,115,13,85,0,92.44666666666667
1960,MADHYA PRADESH,ASHOK NAGAR,2013,64,23,8,141,6,40,0,93.39333333333335
1961,MADHYA PRADESH,BALAGHAT,2013,99,5,6,140,10,92,0,92.16
